file_name,criteria,weight
Management, Ease of Adoption,14
Management, Economic savings,67
Management, Implementation time,14
Management, Operating costs,14
Management, Other reduced impacts,14
Management, Reduced carbon emissions,66
Management, Start-up costs,14
