file_name,criteria,weight
Trade union, Change management,1
Trade union, Ease of Adoption,38
Trade union, Economic savings,5
Trade union, Implementation time,39
Trade union, Operating costs,1
Trade union, Other reduced impacts,5
Trade union, Reduced carbon emissions,25
Trade union, Start-up costs,1
