file_name,criteria,weight
Marketing, Change management,14
Marketing, Ease of Adoption,14
Marketing, Economic savings,14
Marketing, Implementation time,14
Marketing, Operating costs,14
Marketing, Reduced carbon emissions,70
Marketing, Start-up costs,14
