file_name,criteria,weight
Product development, Change management,8
Product development, Ease of Adoption,40
Product development, Economic savings,22
Product development, Implementation time,64
Product development, Other reduced impacts,11
Product development, Reduced carbon emissions,27
Product development, Start-up costs,8
