"file_name","option_label","optimistic_overall","pessimistic_overall"
"Employee 1","Control emissions","0.646829521829522","0.264033264033264"
"Employee 1","Energy saving practices","0.837837837837838","0.499480249480249"
"Employee 1","Health and safety","0.640202702702703","0.328872141372141"
"Employee 1","Low energy equipment","0.593295218295218","0.278586278586279"
"Employee 1","Recycle equipment","0.597193347193347","0.356548856548857"
"Employee 1","Recycle materials","0.739085239085239","0.386954261954262"
"Employee 1","Reduce toxics","0.585498960498961","0.243243243243243"
"Employee 1","Renewable energy","0.658523908523909","0.265072765072765"
"Management","Control emissions","0.684564860426929","0.385632183908046"
"Management","Energy saving practices","0.847865353037767","0.404597701149425"
"Management","Health and safety","0.419047619047619","0.191954022988506"
"Management","Low energy equipment","0.826765188834154","0.507307060755337"
"Management","Recycle equipment","0.65311986863711","0.437931034482759"
"Management","Recycle materials","0.695648604269294","0.514942528735632"
"Management","Reduce toxics","0.542528735632184","0.302052545155993"
"Management","Renewable energy","0.874712643678161","0.469211822660099"
"Marketing","Control emissions","0.678787878787879","0.318181818181818"
"Marketing","Energy saving practices","0.951515151515152","0.584848484848485"
"Marketing","Health and safety","0.587878787878788","0.236363636363636"
"Marketing","Low energy equipment","0.954545454545455","0.7"
"Marketing","Recycle equipment","0.903030303030303","0.566666666666667"
"Marketing","Recycle materials","0.936363636363636","0.666666666666667"
"Marketing","Reduce toxics","0.678787878787879","0.321212121212121"
"Marketing","Renewable energy","0.836363636363636","0.493939393939394"
"Product development","Control emissions","0.568703703703704","0.176018518518519"
"Product development","Energy saving practices","0.929166666666667","0.281574074074074"
"Product development","Health and safety","0.823981481481481","0.543888888888889"
"Product development","Low energy equipment","0.934166666666667","0.411851851851852"
"Product development","Recycle equipment","0.885092592592593","0.645740740740741"
"Product development","Recycle materials","0.863425925925926","0.624074074074074"
"Product development","Reduce toxics","0.539259259259259","0.146574074074074"
"Product development","Renewable energy","0.816111111111111","0.393796296296296"
"Trade union","Control emissions","0.761782541130367","0.389821120908077"
"Trade union","Energy saving practices","0.713332995506909","0.216428499037195"
"Trade union","Health and safety","0.626291341508733","0.167799736495389"
"Trade union","Low energy equipment","0.691842167494341","0.230649302388433"
"Trade union","Recycle equipment","0.917100773622513","0.450934258977737"
"Trade union","Recycle materials","0.91100722948549","0.428650721259417"
"Trade union","Reduce toxics","0.710399141920881","0.358200567548394"
"Trade union","Renewable energy","0.751534914361001","0.266301476301476"
