"file_name","option_label","crit_label","weight","optimistic","pessimistic"
"Marketing","Health and safety","Implementation time","14","8","6"
"Marketing","Health and safety","Operating costs","14","9","7"
"Marketing","Health and safety","Reduced carbon emissions","70","5","3"
"Marketing","Health and safety","Start-up costs","14","8","6"
"Marketing","Low energy equipment","Change management","14","9","7"
"Marketing","Low energy equipment","Ease of Adoption","14","9","8"
"Marketing","Low energy equipment","Economic savings","14","9","7"
"Marketing","Low energy equipment","Implementation time","14","7","5"
"Marketing","Low energy equipment","Operating costs","14","9","8"
"Marketing","Low energy equipment","Reduced carbon emissions","70","9","8"
"Marketing","Low energy equipment","Start-up costs","14","8","5"
"Marketing","Recycle equipment","Change management","14","8","6"
"Marketing","Recycle equipment","Ease of Adoption","14","9","7"
"Marketing","Recycle equipment","Economic savings","14","7","6"
"Marketing","Recycle equipment","Implementation time","14","8","6"
"Marketing","Recycle equipment","Operating costs","14","8","6"
"Marketing","Recycle equipment","Reduced carbon emissions","70","9","7"
"Marketing","Recycle equipment","Start-up costs","14","8","6"
"Marketing","Recycle materials","Change management","14","9","7"
"Marketing","Recycle materials","Ease of Adoption","14","9","8"
"Marketing","Recycle materials","Economic savings","14","6","5"
"Marketing","Recycle materials","Implementation time","14","9","8"
"Marketing","Recycle materials","Operating costs","14","8","7"
"Marketing","Recycle materials","Reduced carbon emissions","70","9","7"
"Marketing","Recycle materials","Start-up costs","14","9","8"
"Marketing","Reduce toxics","Change management","14","7","5"
"Marketing","Reduce toxics","Ease of Adoption","14","7","4"
"Marketing","Reduce toxics","Economic savings","14","5","3"
"Marketing","Reduce toxics","Implementation time","14","7","3"
"Marketing","Reduce toxics","Operating costs","14","7","4"
"Marketing","Reduce toxics","Reduced carbon emissions","70","8","7"
"Marketing","Reduce toxics","Start-up costs","14","6","3"
"Marketing","Renewable energy","Change management","14","7","5"
"Marketing","Renewable energy","Ease of Adoption","14","8","5"
"Marketing","Renewable energy","Economic savings","14","7","5"
"Marketing","Renewable energy","Implementation time","14","7","4"
"Marketing","Renewable energy","Operating costs","14","8","5"
"Marketing","Renewable energy","Reduced carbon emissions","70","9","8"
"Marketing","Renewable energy","Start-up costs","14","7","4"
"Product development","Control emissions","Change management","8","7","5"
"Product development","Control emissions","Ease of Adoption","40","6","4"
"Product development","Control emissions","Economic savings","22","8","7"
"Product development","Control emissions","Implementation time","64","6","4"
"Product development","Control emissions","Other reduced impacts","11","5","4"
"Product development","Control emissions","Reduced carbon emissions","27","9","8"
"Product development","Control emissions","Start-up costs","8","6","4"
"Product development","Energy saving practices","Change management","8","8","6"
"Product development","Energy saving practices","Ease of Adoption","40","8","6"
"Product development","Energy saving practices","Economic savings","22","9","7"
"Product development","Energy saving practices","Implementation time","64","8","4"
"Product development","Energy saving practices","Other reduced impacts","11","6","4"
"Product development","Energy saving practices","Reduced carbon emissions","27","9","7"
"Product development","Energy saving practices","Start-up costs","8","9","8"
"Product development","Health and safety","Change management","8","9","8"
"Product development","Health and safety","Ease of Adoption","40","9","8"
"Product development","Health and safety","Economic savings","22","8","6"
"Product development","Health and safety","Implementation time","64","8","7"
"Product development","Health and safety","Other reduced impacts","11","6","5"
"Product development","Health and safety","Reduced carbon emissions","27","5","4"
"Product development","Health and safety","Start-up costs","8","9","8"
"Product development","Low energy equipment","Change management","8","8","6"
"Product development","Low energy equipment","Ease of Adoption","40","9","7"
"Product development","Low energy equipment","Economic savings","22","9","7"
"Product development","Low energy equipment","Implementation time","64","8","5"
"Product development","Low energy equipment","Other reduced impacts","11","4","3"
"Product development","Low energy equipment","Reduced carbon emissions","27","9","8"
"Product development","Low energy equipment","Start-up costs","8","8","6"
"Product development","Recycle equipment","Change management","8","8","7"
"Product development","Recycle equipment","Ease of Adoption","40","9","8"
"Product development","Recycle equipment","Economic savings","22","8","7"
"Product development","Recycle equipment","Implementation time","64","8","7"
"Product development","Recycle equipment","Other reduced impacts","11","6","5"
"Product development","Recycle equipment","Reduced carbon emissions","27","8","7"
"Product development","Recycle equipment","Start-up costs","8","7","6"
"Product development","Recycle materials","Change management","8","8","7"
"Product development","Recycle materials","Ease of Adoption","40","9","8"
"Product development","Recycle materials","Economic savings","22","8","7"
"Product development","Recycle materials","Implementation time","64","8","7"
"Product development","Recycle materials","Other reduced impacts","11","4","3"
"Product development","Recycle materials","Reduced carbon emissions","27","8","7"
"Product development","Recycle materials","Start-up costs","8","8","7"
"Product development","Reduce toxics","Change management","8","7","5"
"Product development","Reduce toxics","Ease of Adoption","40","6","4"
"Product development","Reduce toxics","Economic savings","22","8","7"
"Product development","Reduce toxics","Implementation time","64","6","4"
"Product development","Reduce toxics","Other reduced impacts","11","7","6"
"Product development","Reduce toxics","Reduced carbon emissions","27","7","6"
"Product development","Reduce toxics","Start-up costs","8","6","4"
"Product development","Renewable energy","Change management","8","8","7"
"Product development","Renewable energy","Ease of Adoption","40","8","6"
"Product development","Renewable energy","Economic savings","22","9","7"
"Product development","Renewable energy","Implementation time","64","7","5"
"Product development","Renewable energy","Other reduced impacts","11","5","4"
"Product development","Renewable energy","Reduced carbon emissions","27","9","8"
"Product development","Renewable energy","Start-up costs","8","8","6"
"Trade union","Control emissions","Change management","1","65","45"
"Trade union","Control emissions","Ease of Adoption","38","75","65"
"Trade union","Control emissions","Economic savings","5","70","55"
"Trade union","Control emissions","Implementation time","39","70","50"
"Trade union","Control emissions","Operating costs","1","90","70"
"Trade union","Control emissions","Other reduced impacts","5","40","30"
"Trade union","Control emissions","Reduced carbon emissions","25","65","50"
"Trade union","Control emissions","Start-up costs","1","65","40"
"Trade union","Energy saving practices","Change management","1","85","60"
"Trade union","Energy saving practices","Ease of Adoption","38","65","50"
"Trade union","Energy saving practices","Economic savings","5","75","55"
"Trade union","Energy saving practices","Implementation time","39","75","50"
"Trade union","Energy saving practices","Operating costs","1","95","85"
"Trade union","Energy saving practices","Other reduced impacts","5","35","25"
"Trade union","Energy saving practices","Reduced carbon emissions","25","75","55"
"Trade union","Energy saving practices","Start-up costs","1","80","60"
"Trade union","Health and safety","Change management","1","85","75"
"Trade union","Health and safety","Ease of Adoption","38","75","55"
"Trade union","Health and safety","Economic savings","5","25","20"
"Trade union","Health and safety","Implementation time","39","75","55"
"Trade union","Health and safety","Operating costs","1","85","65"
"Trade union","Health and safety","Other reduced impacts","5","50","35"
"Trade union","Health and safety","Reduced carbon emissions","25","25","20"
"Trade union","Health and safety","Start-up costs","1","95","80"
"Trade union","Low energy equipment","Change management","1","85","55"
"Trade union","Low energy equipment","Ease of Adoption","38","65","50"
"Trade union","Low energy equipment","Economic savings","5","80","65"
"Trade union","Low energy equipment","Implementation time","39","75","55"
"Trade union","Low energy equipment","Operating costs","1","85","55"
"Trade union","Low energy equipment","Other reduced impacts","5","35","25"
"Trade union","Low energy equipment","Reduced carbon emissions","25","70","50"
"Trade union","Low energy equipment","Start-up costs","1","60","40"
"Trade union","Recycle equipment","Change management","1","80","65"
"Trade union","Recycle equipment","Ease of Adoption","38","75","60"
"Trade union","Recycle equipment","Economic savings","5","65","50"
"Trade union","Recycle equipment","Implementation time","39","90","70"
"Trade union","Recycle equipment","Operating costs","1","85","70"
"Trade union","Recycle equipment","Other reduced impacts","5","45","20"
"Trade union","Recycle equipment","Reduced carbon emissions","25","65","45"
"Trade union","Recycle equipment","Start-up costs","1","80","65"
"Trade union","Recycle materials","Change management","1","80","70"
"Trade union","Recycle materials","Ease of Adoption","38","75","55"
"Trade union","Recycle materials","Economic savings","5","65","55"
"Trade union","Recycle materials","Implementation time","39","90","75"
"Trade union","Recycle materials","Operating costs","1","90","75"
"Trade union","Recycle materials","Other reduced impacts","5","35","20"
"Trade union","Recycle materials","Reduced carbon emissions","25","65","45"
"Trade union","Recycle materials","Start-up costs","1","85","70"
"Trade union","Reduce toxics","Change management","1","65","45"
"Trade union","Reduce toxics","Ease of Adoption","38","75","65"
"Trade union","Reduce toxics","Economic savings","5","70","55"
"Trade union","Reduce toxics","Implementation time","39","70","50"
"Trade union","Reduce toxics","Operating costs","1","90","70"
"Trade union","Reduce toxics","Other reduced impacts","5","75","65"
"Trade union","Reduce toxics","Reduced carbon emissions","25","45","35"
"Trade union","Reduce toxics","Start-up costs","1","65","40"
"Trade union","Renewable energy","Change management","1","90","55"
"Trade union","Renewable energy","Ease of Adoption","38","70","55"
"Trade union","Renewable energy","Economic savings","5","85","65"
"Trade union","Renewable energy","Implementation time","39","70","45"
"Trade union","Renewable energy","Operating costs","1","90","65"
"Trade union","Renewable energy","Other reduced impacts","5","40","30"
"Trade union","Renewable energy","Reduced carbon emissions","25","75","60"
"Trade union","Renewable energy","Start-up costs","1","75","35"
