"","file_name","direction_outline","direction_binary","separation","direction_fill"
"1","Management",-1,0,0.0348805273276586,0
"2","Employee 1",-1,0,0.0560081466395113,0
"3","Trade union",-1,1,0.205233948861498,-1
"4","Marketing",-1,1,0.404145077720207,-1
"5","Product development",-1,1,0.554322277357012,-1
