"","file_name","direction_outline","direction_binary","separation","direction_fill"
"1","Management",1,1,0.0972755850506468,1
"2","Trade union",1,1,0.0822966176410693,1
"3","Product development",-1,0,0.00064340863597422,0
"4","Marketing",-1,1,0.225165562913908,-1
"5","Employee 1",-1,1,0.361161524500907,-1
