"","file_name","direction_outline","direction_binary","separation","direction_fill"
"1","Marketing",1,1,0.497881355932203,1
"2","Management",1,1,0.48898485417449,1
"3","Employee 1",1,1,0.361756446259892,1
"4","Trade union",1,1,0.124346604261865,1
"5","Product development",-1,0,0.121318272805261,0
