"","file_name","direction_outline","direction_binary","separation","direction_fill"
"1","Management",1,1,0.536736411736412,1
"2","Marketing",1,1,0.421717171717172,1
"3","Trade union",1,1,0.191649673638365,1
"4","Employee 1",-1,0,0.0577939233817694,0
"5","Product development",-1,1,0.183598794662075,-1
