"","file_name","direction_outline","direction_binary","separation","direction_fill"
"1","Product development",1,1,0.0830081589216043,1
"2","Trade union",1,1,0.02904808968497,1
"3","Marketing",-1,1,0.180327868852459,-1
"4","Employee 1",-1,1,0.225203804347826,-1
"5","Management",-1,1,0.231920993947116,-1
