"","file_name","direction_outline","direction_binary","separation","direction_fill"
"1","Employee 1",1,1,0.416124535315985,1
"2","Trade union",1,0,0.0073153138208451,0
"3","Management",-1,0,0.0920540840896463,0
"4","Product development",-1,1,0.103646424517594,-1
"5","Marketing",-1,1,0.15983606557377,-1
