"","file_name","direction_outline","direction_binary","separation","direction_fill"
"1","Employee 1",1,1,0.427666083916083,1
"2","Marketing",1,1,0.425480769230769,1
"3","Management",1,1,0.373646209386281,1
"4","Product development",1,1,0.335364410790346,1
"5","Trade union",-1,0,0.139703117914564,0
